record_kind,module,canonical_term,capability,disposition,activation_boundary,repository,selected_fork,branch,revision,license,license_scope,dependencies,upstream_divergence,local_delta_summary,local_delta_owner,config_files,remaining_gate,evidence
module-decision,mod-improved-bank,account bank,Entry 200001 intentionally receives no first-release spawn pending item safety acceptance.,removed,removed from baseline; preserve ordinary bank behavior,https://github.com/silviu20092/mod-improved-bank.git,selected repository is the direct community upstream,master,89fc606fe6945f201f15f8a3bbc61d01552ea94c,MIT,repository grant recorded at exact pin; normal license obligations still apply,character SQL;world SQL;approved NPC placement,account-bank storage owner,none,CPI-201,mod_improved_bank.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-instance-reset,manual instance reset,Entry 300000 intentionally receives no first-release spawn; the no-cost all-difficulty policy remains unreachable pending later review.,removed,removed from baseline; preserve ordinary lockouts,https://github.com/azerothcore/mod-instance-reset.git,selected repository is the direct community upstream,master,1e2c20770f40f5382348b7649291371f47c86812,NO repository license,"private-home-use-only; no redistribution, sublicense, publication, or open-source claim",world SQL;approved NPC placement,manual lockout mutation,none,CPI-201,instance-reset.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-junk-to-gold-plus,junk conversion,The original mod-junk-to-gold must remain absent; sale chat is disabled in the candidate.,removed,removed from baseline; preserve ordinary vendor trips and item economy,https://github.com/eveletspb/mod-junk-to-gold-plus.git,https://github.com/Akotz89/mod-junk-to-gold-plus.git (candidate-only; live baseline remains absent),codex/candidate-cpi225-junk-to-gold-party-white-20260913,1cd2cc9ab0b1dda54813392eadc0305d8cca1c42,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,core,sole junk-conversion owner,none,CPI-201,mod_junk_to_gold_plus.conf,candidate-only; remain absent from current release; require explicit activation decision plus runtime/gameplay acceptance before any use,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-morphsummon,summon cosmetic,Entry 601072 intentionally receives no first-release spawn pending pet-state restart acceptance.,removed,removed from baseline; no selected cosmetic pet utility,https://github.com/azerothcore/mod-morphsummon.git,selected repository is the direct community upstream,master,13ffcbfff126a12df8e716e6613a64961bbddede,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,world SQL;approved NPC placement,pet state intersects unresolved pet persistence,none,CPI-201,morphsummon.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-multibot-bridge,generic MultiBot client/server protocol bridge,Exact 327-file addon is installed byte-identically; the server bridge and client addon remain a paired protocol and still need runtime acceptance.,compiled-disabled,generic identifier-agnostic bridge source only; compiled-disabled; no fixed roster or identity binding; preserved CPI-201 creature hook has an unresolved inventory callback reference pending CPI-199,https://github.com/Wishmaster117/mod-multibot-bridge.git,Wishmaster117 server bridge paired exactly with MultiBot-Chatless 09e0233c1f2e17d03c191d1be67da926767c955d,main,24cef0badfde0c06fc0b917b7510f8f15220a775,NO repository license,"private-home-use-only; no redistribution, sublicense, publication, or open-source claim",mod-playerbots;MultiBot-Chatless 09e0233,generic bridge protocol is retained compiled-disabled; fixed-party inventory automation is outside the selected capability,the retained dirty snapshot's three PartyInventoryAutoManage/fixed-party inventory hunks are excluded by a hash-locked CPI-225 reconstruction at result tree 7936c4cbb218334de4f3025341a4971517913a8a; all five CPI-201 generic hunk bodies remain byte-identical; preserved hunk dac8cc9114a2... still calls the removed callback and blocks source acceptance,CPI-199,MultiBotBridge.conf,"remain compiled-disabled; CPI-199 must resolve the preserved orphaned inventory callback without identity/fixed-party behavior, then prove exact addon/server pairing, build/link/package/ABI, handshake/version mismatch, reconnect, roster and add/remove/state refresh, commands, chat isolation, selected-module coexistence, gameplay, and rollback",inventory diff=ca2053f2f89d784b8ab6efcb88e5702fdf57af654d007a3732412c752c5aaf82; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row; CPI-225 residue-free result tree=7936c4cbb218334de4f3025341a4971517913a8a result-diff=844331494043a8e075016a4aa7e9c1aaf3b78eead95b27df5d664adc30e979eb cleanup-patch=e1fee714dc8ce69badf5c7dd767ff7cf00d1da5f23b6eebb8dddbde94c7cea5e; preserved orphaned callback remains a CPI-199 blocker
module-decision,mod-mythic-plus,mythic dungeon progression,It may compile in the 29-module build but must not become usable in the 1-19 phase.,deferred,future-only capability; absent from first-release baseline behavior,https://github.com/silviu20092/mod-mythic-plus.git,selected repository is the direct community upstream,master,e2a487d358c1c1c562d686f53a3e269b2cf1b8c5,MIT,repository grant recorded at exact pin; normal license obligations still apply,world and character SQL;approved NPC placement;global phase,later-phase rewards,none,CPI-203,mod_mythic_plus.conf,phase-1 denial; later keystone/reward/restart/rollback,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-playerbot-dungeon-sim,RNDBOT dungeon activity scheduler,The candidate atomically claims complete rosters before group creation with activity kind generation objective and owner-checked release; records the exact core group durably; vetoes Playerbots periodic maintenance only for exact reserved GUIDs; cancels owned work on disable or shutdown; safely dissolves only matched orphan groups at startup; and disables offscreen simulation synthetic gear gold personal loot legendary awards and guild missions. Standalone conflict tests and targeted syntax-only compiles pass while full build SQL restart maintenance-release and gameplay proof remain pending.,compiled-disabled,private-home RNDBOT-only real five-player scheduling; all synthetic rewards and human join disabled,https://github.com/TopHatMan/mod-playerbot-dungeon-sim.git,TopHatMan companion selected specifically for the TopHatMan Dungeon Clear API,main,faa8763c0fa3a9ce2eea1d06eb2a39f3082e178a,NO repository license,"private-home-use-only; no redistribution, sublicense, publication, or open-source claim",mod-playerbots;mod-dungeon-clear;activity registry;durable run ownership,overlaps future outdoor grouping and every activity consumer; requires TopHatMan Dungeon Clear,RNDBOT scheduler; atomic owner-token leases; durable run/group ownership; maintenance veto; reward fail-close; SQL fixes; 15 dirty rows,CPI-218,mod_playerbot_dungeon_sim.conf,license; clean SQL residue; real 5-man reservation/maintenance/crash/restart/earned-only proof,inventory diff=60c0592cd772bf09781bf08f6e712616c43766d1a56b1ee27bf408dbe7743f51; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-playerbots,"authoritative RNDBOT gameplay, lifecycle, and PopulationDirector subsystem","Playerbots remains movement, combat, pathfinding, quest, loot, inventory, encounter, durable RNDBOT lifecycle, and population-direction authority. PopulationDirector owns deterministic waves, durable admission, dynamic bands/holds, fair online scheduling, capacity backpressure, and reconcile-forward recovery.",enabled,RandomBot/RNDBOT ambient subsystem plus the internal src/Guide/PopulationDirector native C++ subsystem; NamedParty disabled/unbound and rejected from release behavior,https://github.com/mod-playerbots/mod-playerbots.git,https://github.com/Akotz89/mod-playerbots.git,maintained/cpi217,b1163bc5ce4494176f03a1f4c97bceb21aed7c62,GPL-2.0 file at exact checkout,repository grant recorded at exact pin; normal license obligations still apply,paired exact-pinned core Akotz89/azerothcore-wotlk@463c3caf6f850e57de1c68f26da919b84216a234; private Playerbots creator registries; PlayerbotsDatabase ledger under mod-playerbots/data/sql/playerbots; read-only phase snapshot from mod-progression-system; generic fail-closed core quest/XP/login hooks; CPI-202 capacity telemetry; immutable offline manifests/evidence; no embedded-Python production dependency,"selected maintained fork adds a logically isolated native C++ PopulationDirector subsystem and its durable PlayerbotsDatabase ledger; tmp/cpi-194-d051-review-source is read-only donor evidence and must never be merged or cherry-picked wholesale because it contains NamedParty/account-142 coupling, duplicate phase authority, and unrelated changes","the retained dirty snapshot's 17 NamedParty hunks are excluded by a hash-locked CPI-225 reconstruction at intermediate tree b54f1bacc3d3f77d6c39bb77434e0d5afafb1fc8; CPI-193 removes the orphan restoreGroup dependency with named commit fbd31b81d2ccd5bd0a8f29e476bbb42897b4f04f at final tree cffcce7b6b93e4a2ab2b6eefc63ce179d0027fd8; factory/persistence/phase/maintenance deltas remain pending named ownership commits; PopulationDirector donor evidence is held separately at core 7468f82439b614b6b2470d968543817c034c4b7f and nested Playerbots a566ebd5d7c0eba36ee31d2f54c0d5cfc1b36c3e; final integration requires ordered ownership commits, not wholesale donor history",CPI-193,playerbots.conf,"bind the maintained fork's final exact commit and ordered accepted ownership commits from the identity-agnostic CPI-193 result tree cffcce7b6b93e4a2ab2b6eefc63ce179d0027fd8, produced from NamedParty-free CPI-225 tree b54f1bacc3d3f77d6c39bb77434e0d5afafb1fc8; exclude duplicate phase authority/unrelated donor changes; resolve W1 329 versus stock-factory 801; prove fail-closed XP/quest hooks, PlayerbotsDatabase ledger migration/recovery, fresh factory identity/earned/pet/restart, and staged roster/online load ladders",inventory diff=e663f44b929fe594113a90444ad5cebfc44cd223e675eba17351fe6121e1f8ee; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row; ADR-accepted physical boundary: src/Guide/PopulationDirector plus mod-playerbots/data/sql/playerbots; CPI-193 restoreGroup cleanup commit=fbd31b81d2ccd5bd0a8f29e476bbb42897b4f04f tree=cffcce7b6b93e4a2ab2b6eefc63ce179d0027fd8 patch=fcda66fd7b2f37a42fb99742b61a888631b3d0d0ecd1a90a2b93d629a9749508; read-only donor core=7468f82439b614b6b2470d968543817c034c4b7f playerbots=a566ebd5d7c0eba36ee31d2f54c0d5cfc1b36c3e
module-decision,mod-progression-system,sole shared realm phase authority,Starts at bracket 0 plus 1-19 and supersedes Individual Progression for this fresh-realm candidate.,enabled,sole shared ChromieCraft-style phase owner; starts at 1-19,https://github.com/azerothcore/mod-progression-system.git,https://github.com/Akotz89/mod-progression-system.git,maintained/cpi217,abab641b4399102191d8ab1c07a2a1e4fc5070fc,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,paired core patch;Playerbots XP patch;phase SQL,sole global phase owner; Individual Progression absent,exact-fork phase gates; 11 dirty rows,CPI-191,progression_system.conf,migration idempotence; human/RNDBOT denial; forward/reverse SQL; five-schema restore,inventory diff=ffe4ceeccc9c4f98e0c3e3149587bdb0320f9a4a2177256c1178c822474b1df5; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-python-engine,disabled embedded Python engine,"Development-only embedded scripting experiment, disabled and not used by production PopulationDirector. Standalone governed Python produces immutable manifests and release evidence only.",deferred,Python.Enabled=0; standalone governed Python remains separate,https://github.com/privatecore/mod-python-engine.git,https://github.com/Akotz89/mod-python-engine.git,maintained/cpi217,c167c2c1d7578befca13a40ae119b0f513a48b95,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,matching Python and Boost.Python ABI;reviewed script bundle,development scripting only; not LLM and not Playerbots transactional/group authority,seven-file current hardening diff SHA-256 36994d26a8998f38bbaa39a806859675dfc31afe1618298912f1028dac6ed779; published patch SHA-256 10f51c5d3d1ab5f069d5dd9ab3962d08be1a5beac0e4ebc2b5758ce72477f42d is stale because it omits the corrected disabled-default documentation ordering and PythonLoader IsEnabled guard,CPI-223,mod_python_engine.conf,remain deferred and Python.Enabled=0; replace stale patch 10f51c5d3d1ab5f069d5dd9ab3962d08be1a5beac0e4ebc2b5758ce72477f42d with one refreshed reconstructable commit/patch and exact result tree before any candidate; then prove ABI/path/load/hook/reload/exception/performance gates separately,inventory diff=36994d26a8998f38bbaa39a806859675dfc31afe1618298912f1028dac6ed779; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-quest-loot-party,party quest-item sharing,It owns quest-item replication only and must not synthesize ordinary loot.,enabled,targeted enabled as the sole party quest-item sharing owner after coexistence proof,https://github.com/pangolp/mod-quest-loot-party.git,selected repository is the direct community upstream,master,6f073c1bef1bba1aa73787d1e30db7429f2b1c7b,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,core loot hook;mod-autoloot ownership boundary,quest-item replication only; overlaps AutoLoot and Playerbots allocations,none,CPI-201,mod-quest-loot-party.conf,ordinary owner-created party eligibility/duplication/full-inventory/relog matrix,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-rdf-expansion,phase-bounded RDF expansion selection,First-phase overlay selects Classic value 0; prior WotLK value 2 is historical configuration.,enabled,targeted enabled with Classic-only phase selection after human/RNDBOT denial proof,https://github.com/azerothcore/mod-rdf-expansion.git,selected repository is the direct community upstream,master,c7a91c5973cda4529495b52b89375913f98726d6,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,core RDF patch;global phase,constrained by Progression System,none,CPI-191,mod-rdf-expansion.conf,human/RNDBOT future-content denial,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-reagent-bank,reagent storage,The candidate honors ReagentBank.Enable and makes bank-balance plus inventory persistence one verified database transaction; it remains disabled until cloned runtime and failure-injection acceptance.,removed,removed from baseline; preserve ordinary bags/bank/mail storage,https://github.com/ZhengPeiRu21/mod-reagent-bank.git,https://github.com/Akotz89/mod-reagent-bank.git,maintained/cpi217,d0bb184666209cebc0317b33765f91302b5b2b2b,MIT,repository grant recorded at exact pin; normal license obligations still apply,character and world SQL;approved NPC placement,inventory mutation/storage owner,Enable gating and direct DB transaction persistence; 2 dirty rows,CPI-201,reagent_bank.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-rotation,human-triggered rotation helper,It does not replace Playerbots autonomous combat.,removed,removed from baseline; normal player controls and Playerbots combat remain authoritative,https://github.com/Maddnes95/mod-rotation.git,https://github.com/Akotz89/mod-rotation.git,maintained/cpi217,098a2ac44228cbf7baa07e818b2bcafdaccf3027,GPL-2.0,repository grant recorded at exact pin; normal license obligations still apply,optional client DBC rename,"human one-button helper, not RNDBOT combat; Playerbots remains combat owner",safe defaults/config adaptation; 3 dirty rows,CPI-201,mod_rotation.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=88e9c1f5760e0206928c29280eba61fb05deb9033e8ea839e69d15cebafe9bd0; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-talentbutton,talent UI injection,Official RCEPatcher v1 byte is absent from the selected executable; visible Warden/UI behavior is still unproven.,removed,removed from baseline; no selected client-injected talent utility,https://github.com/brian8544/mod-talentbutton.git,selected repository is the direct community upstream,master,c48e14d73003c17ce752bb0f164591a6eaf33f4a,GPL-2.0,repository grant recorded at exact pin; normal license obligations still apply,unpatched compatible 3.3.5a client executable,client UI owner; unrelated to bot autonomy,none,CPI-203,mod_talentbutton.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-transmog,cosmetic appearance,Entry 190010 intentionally receives no first-release spawn; portable command is unavailable because Plus is disabled.,removed,removed from baseline; no selected transmog/NPC capability,https://github.com/azerothcore/mod-transmog.git,selected repository is the direct community upstream,master,0d85cbc53d63ce2df8527169ce6ae47f5f6f6ba8,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,auth character and world SQL;approved NPC placement,cosmetic owner,none,CPI-201,transmog.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-warlock-pet-rename,warlock pet naming,Entry 200002 intentionally receives no first-release spawn pending pet-state restart acceptance.,removed,removed from baseline; no selected pet-rename NPC capability,https://github.com/silviu20092/mod-warlock-pet-rename.git,selected repository is the direct community upstream,master,33942ff7787a9f6909164977ce02d2d10139cef2,MIT,repository grant recorded at exact pin; normal license obligations still apply,world SQL;approved NPC placement;pet-state core fix,pet identity intersects pet persistence,none,CPI-201,none (configless module),none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-weather-vibe,sole weather manager,Core weather must remain disabled to avoid competing managers.,removed,removed from baseline; core weather remains the baseline owner,https://github.com/hermensbas/mod_weather_vibe.git,https://github.com/Akotz89/mod_weather_vibe.git,maintained/cpi217,cee081c0e743d46b55bd6c34b19c44b6a1bc1609,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,core ActivateWeather=0,sole weather owner; core ActivateWeather=0,exact-core adaptation; 2 dirty rows,CPI-203,mod_weather_vibe.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=1f7fb8f795e7082e464e0f440de346209178c095914209a02c5b856b8465f7ac; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-who-logged,login and logout announcements,Both announcement switches are 0 for first release so ambient population login/logout reconciliation cannot flood world chat.,removed,removed from baseline; no selected login/logout announcement capability,https://github.com/azerothcore/mod-who-logged.git,selected repository is the direct community upstream,master,3f439d0aa56d3a4782dee1467f1bdcb16b35aa2f,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,core,would flood chat under RNDBOT churn,none,CPI-201,who-logged.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
